項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
1,子育て・教育,児童館,秋津児童館,東村山市秋津町3-51-25,35.773354,139.483473,042-397-1150,無し,本の部屋・遊びの部屋(幼児コーナー)・手作りの部屋(工作室・集会室)・育成室(児童クラブ)・運動の部屋,休館日：年末年始(12月29日から1月3日),http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/jidokan/akitsu-j-institution/index.html
2,子育て・教育,児童館,栄町児童館,東村山市栄町3-14-1,35.746939,139.469128,042-397-1151,無し,遊戯室・幼児室・育成室(児童クラブ)・集会室・図書室・工作室,休館日：年末年始(12月29日から1月3日),http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/jidokan/sakaemachi/index.html
3,子育て・教育,児童館,富士見児童館,東村山市富士見町5-4-51,35.746622,139.462826,042-397-1152,有(公民館・児童館・憩いの家共用)うち、障害者用2台。,本の部屋・遊びの部屋(幼児コーナー)・手づくり広場・工作室・音楽室・育成室(児童クラブ)・運動の部屋・ふれあい広場(アスレチック),休館日：年末年始(12月29日から1月3日) ・祝日・その他、富士見文化センターの休館日,http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/jidokan/fujimi/index.html
4,子育て・教育,児童館,北山児童館,東村山市野口町3-26-2,35.765079,139.453365,042-397-1153,無し,本の部屋・遊びの部屋(幼児室)・手作りの部屋(工作・料理室)・育成室(児童クラブ)・運動の部屋,休館日：年末年始(12月29日から1月3日),http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/jidokan/kitayama/index.html
5,子育て・教育,児童館,本町児童館,東村山市本町4-19-26,35.7537,139.474642,042-397-1154,無し,図書コーナー・幼児コーナー・集会室・育成室(児童クラブ)・ワーキングルーム・プレイルーム,休館日：年末年始(12月29日から1月3日),http://www.city.higashimurayama.tokyo.jp/shisetsu/hoikuen/jidokan/honcho/index.html
