項番,大項目,中項目,施設名,所在地,緯度,経度,電話番号,駐車場,施設概要,備考,リンク先URL
1,子育て・教育,子育て支援,ファミリー・サポート・センター,東村山市野口町1-25-15地域福祉センター2階,35.758319,139.46423,042-393-5137,有(数に限りがある為、公共交通機関をご利用ください)。,子どもの預かり・送迎。,休館日：土・日・祝日・年末年始,http://www.city.higashimurayama.tokyo.jp/kosodate/shien/f-1/index.html
2,子育て・教育,子育て支援,子ども家庭支援センター,東村山市本町1-2-3いきいきプラザ3階,35.754202,139.468257,042-390-2271,駐車場106台(無料)。うち、8台が「思いやり駐車ゾーン」。,子育てに関する相談窓口。,休館日：土・日・祝日・年末年始,http://www.city.higashimurayama.tokyo.jp/kosodate/sodan/kosodate/index.html
3,子育て・教育,子育て支援,子育て総合支援センター(ころころの森),東村山市野口町1-25-15,35.758305,139.464228,042-395-7280,有(数に限りがある為、公共交通機関をご利用ください)。,未就学児とその親を対象とした子育て広場。,休館日：日・月・祝日・年末年始,http://r.goope.jp/corocoronomori
