X,Y,OBJECTID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.650717929542111,35.61024205340113,55,わらべうた等々力保育園,保育園,認証保育所,等々力3-27-15, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00038992.html
139.65310328578488,35.609087730641996,56,ナオミ保育園,保育園,私立保育園,等々力4-13-10, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011760.html
139.657806506260471,35.61605729890664,57,めぐみ保育園,保育園,私立保育園,深沢3-13-8, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011765.html
139.660128622858537,35.623071230417644,58,駒沢どろんこ保育園,保育園,私立保育園,深沢2-19-14　, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138959.html
139.597266904431336,35.634356875945542,59,喜多見保育園,保育園,区立保育園,成城3-18-20, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011773.html
139.59880296692495,35.640176996307069,60,小田急ムック成城園,保育園,認証保育所,成城6-5-34,成城コルティ3階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011883.html
139.588633047279444,35.63729841381744,61,世田谷喜多見雲母保育園,保育園,認証保育所,喜多見9-1-2,喜多見ル・ジュール103,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00022280.html
139.612293293042882,35.640859069120907,62,大蔵保育園,保育園,区立保育園,砧4-5-12, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011775.html
139.619128064558168,35.633742882309022,63,南大蔵保育園,保育園,区立保育園,大蔵1-7-11, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011774.html
139.609532076731028,35.632941689759654,64,大蔵ふたば保育園,保育園,私立保育園,大蔵3-2-39, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011778.html
139.617111929531063,35.644241573750513,65,すこやか園分園 クジラ,保育園,私立保育園,砧2-14-12, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00015565.html
139.609705803000168,35.641485165939308,66,高木保育園,保育園,保育室,砧6-26-22, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1240/d00011810.html
139.611381366886377,35.643757027010125,67,小田急ムック祖師谷園,保育園,認証保育所,祖師谷1-5-20, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011882.html
139.60808757419548,35.64100793706055,68,世田谷祖師ヶ谷大蔵雲母保育園,保育園,認証保育所,砧8-6-25,ヒグチ栄ビル1・2階,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00011885.html
139.613163387774279,35.634629449005999,69,病児・病後児保育室かんがるーむ,保育園,病児・病後児保育室,大蔵2-10-18, , 
139.613060704045097,35.634629261287536,70,成育しせい保育園,保育園,私立保育園,大蔵2-10-18, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00019553.html
139.621264660400641,35.646025026598508,71,すこやか園分園 キリン,保育園,私立保育園,桜丘5-19-16, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00033409.html
139.609804908223282,35.639760026667012,72,ココファン・ナーサリー砧,保育園,私立保育園,砧5-20-14, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138954.html
139.614741465893502,35.644016908902877,73,生活クラブ保育園ぽむ・砧,保育園,私立保育園,砧4-38-4　,グランドテラス1階,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00138999.html
139.609085511648146,35.629604231747564,74,ちきゅうのこどもほいくえん成城,保育園,私立保育園,大蔵5-7-29, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00140718.html
139.608406422604816,35.645084191469451,75,チャイルドスクエアそしがや,保育園,認証保育所,祖師谷3-36-2, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1241/d00131247.html
139.622004679882394,35.64282437155277,76,桜ヶ丘保育園,保育園,私立保育園,桜丘4-19-33, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1239/d00011732.html
139.630424864363476,35.634879246314739,77,上用賀保育園,保育園,区立保育園,上用賀4-2-10, ,http://www.city.setagaya.lg.jp/shisetsu/1203/1238/d00011755.html
